ID;SHOP_ID;NAME;SECTION
161;33;Odbitki 10x15;Odbitki fotograficzne
162;33;Zdjęcie paszportowe;Zdjęcia do dokumentów
163;33;Fotoksiążka A4;Fotoprodukty
164;33;Aparat Canon PowerShot;Aparaty fotograficzne
165;33;Statyw aluminiowy;Akcesoria fotograficzne
166;34;Chuck Taylor All Star;Obuwie
167;34;Run Star Hike;Obuwie
168;34;Bluza z kapturem;Odzież
169;34;Czapka z daszkiem;Akcesoria
170;34;Plecak miejski;Akcesoria
171;35;Zeszyt A5 w linie;Artykuły szkolne
172;35;Długopis żelowy;Artykuły papiernicze
173;35;Organizer biurkowy;Akcesoria biurowe
174;35;Notes ozdobny;Notesy
175;35;Brelok prezentowy;Gadżety
176;36;Biustonosz push-up;Biustonosze
177;36;Majtki figi;Bielizna damska
178;36;Rajstopy 40 DEN;Rajstopy
179;36;Biustonosz sportowy;Bielizna damska
180;36;Ramiączka silikonowe;Akcesoria bieliźniane
181;37;Klapki Classic;Klapki
182;37;Chodaki dziecięce;Chodaki
183;37;Sandały letnie;Sandały
184;37;Buty LiteRide;Obuwie casual
185;37;Przypinki Jibbitz;Akcesoria
186;38;Bluza oversize;Odzież męska
187;38;T-shirt z nadrukiem;Odzież damska
188;38;Jeansy slim fit;Denim
189;38;Sneakersy wysokie;Obuwie
190;38;Czapka beanie;Akcesoria
191;39;Konto dla młodych;Konta osobiste
192;39;Karta debetowa Visa;Karty płatnicze
193;39;Lokata 12-miesięczna;Lokaty
194;39;Kredyt gotówkowy;Kredyty
195;39;Polisa na życie;Ubezpieczenia
196;40;Wakacje Grecja all inclusive;Wyjazdy wakacyjne
197;40;Wycieczka objazdowa Włochy;Wycieczki
198;40;Hotel 4-gwiazdkowy;Rezerwacje hoteli
199;40;Bilet lotniczy Warszawa–Rzym;Bilety lotnicze
200;40;Polisa turystyczna Europa;Ubezpieczenia turystyczne
201;51;Sukienka wieczorowa maxi;Odzież damska
202;51;Sukienka koktajlowa elegancka;Odzież damska
203;51;Bluzka damska z satyny;Odzież damska
204;51;Spódnica midi plisowana;Odzież damska
205;51;Żakiet damski klasyczny;Odzież damska
206;52;E-papieros starter kit;Pody i urządzenia vapingowe
207;52;Liquid owocowy 10ml;Liquidy i wkłady
208;52;Grzałka do e-papierosa;Akcesoria do wapowania
209;52;Pod system kompaktowy;Pody i urządzenia vapingowe
210;52;Liquid mentolowy 10ml;Liquidy i wkłady
211;53;Implant zębowy tytanowy;Implanty
212;53;Aparat ortodontyczny stały;Ortodoncja
213;53;Higienizacja jamy ustnej;Higiena jamy ustnej
214;53;Most protetyczny porcelanowy;Protetyka
215;53;Konsultacja stomatologiczna;Usługi stomatologiczne
216;54;Buty sportowe damskie;Obuwie damskie
217;54;Półbuty męskie skórzane;Obuwie męskie
218;54;Buty dziecięce na rzepy;Obuwie dziecięce
219;54;Torebka damska shopper;Akcesoria
220;54;Plecak miejski;Akcesoria
221;55;Biustonosz koronkowy;Bielizna damska
222;55;Majtki damskie klasyczne;Bielizna damska
223;55;Kostium kąpielowy jednoczęściowy;Kostiumy kąpielowe
224;55;Rajstopy kryjące 60 DEN;Rajstopy i legginsy
225;55;Tunika plażowa;Odzież plażowa
226;56;Suszarka fryzjerska profesjonalna;Sprzęt elektryczny
227;56;Prostownica ceramiczna;Narzędzia fryzjerskie
228;56;Szampon regenerujący;Profesjonalne kosmetyki fryzjerskie
229;56;Szczotka okrągła do modelowania;Akcesoria fryzjerskie
230;56;Lokówka do włosów;Sprzęt elektryczny
231;57;Okulary korekcyjne damskie;Okulary korekcyjne
232;57;Okulary przeciwsłoneczne UV400;Okulary przeciwsłoneczne
233;57;Soczewki kontaktowe miesięczne;Soczewki kontaktowe
234;57;Badanie wzroku komputerowe;Usługi badania wzroku
235;57;Dobór szkieł korekcyjnych;Usługi badania wzroku
236;58;Okulary korekcyjne męskie;Okulary korekcyjne
237;58;Okulary przeciwsłoneczne polaryzacyjne;Okulary przeciwsłoneczne
238;58;Soczewki kontaktowe dzienne;Soczewki kontaktowe
239;58;Badanie wzroku optometryczne;Usługi optyczne
240;58;Serwis okularów;Usługi optyczne
241;59;Strzyżenie męskie klasyczne;Usługi barberingu
242;59;Golenie brzytwą;Usługi barberingu
243;59;Modelowanie brody;Usługi barberingu
244;59;Strzyżenie fade;Usługi barberingu
245;59;Mycie i stylizacja włosów;Usługi fryzjerskie
246;60;Herbata czarna liściasta;Herbata
247;60;Herbata zielona sencha;Herbata
248;60;Kawa ziarnista arabica;Kawa
249;60;Zaparzacz do herbaty stalowy;Akcesoria do napojów
250;60;Ciastka maślane do herbaty;Ciastka
251;41;Jeansy męskie slim fit;Jeansy
252;41;Kurtka jeansowa damska;Kurtki
253;41;T-shirt z logo;Koszulki
254;41;Pasek skórzany;Akcesoria modowe
255;41;Sneakersy miejskie;Obuwie
256;42;Buty sportowe męskie;Obuwie
257;42;Trampki damskie;Obuwie
258;42;Buty casual skórzane;Obuwie
259;42;Sneakersy lifestyle;Obuwie
260;42;Buty zimowe ocieplane;Obuwie
261;43;Sandały damskie;Obuwie damskie
262;43;Buty eleganckie męskie;Obuwie męskie
263;43;Buty dziecięce na rzepy;Obuwie dziecięce
264;43;Sneakersy sportowe;Buty sportowe
265;43;Klapki letnie;Obuwie damskie
266;44;Herbata czarna liściasta;Herbata i napoje
267;44;Herbata zielona premium;Herbata i napoje
268;44;Zaparzacz do herbaty;Akcesoria do herbaty
269;44;Czajniczek ceramiczny;Akcesoria do herbaty
270;44;Zestaw prezentowy herbat;Zestawy prezentowe z herbatą
271;45;Odkurzacz bezprzewodowy;Odkurzacze
272;45;Robot sprzątający;Roboty sprzątające
273;45;Suszarka do włosów;Suszarki do włosów
274;45;Oczyszczacz powietrza;Oczyszczacze powietrza
275;45;Wentylator kolumnowy;Wentylatory
276;46;Etui silikonowe do smartfona;Akcesoria do telefonów
277;46;Szkło hartowane;Akcesoria do telefonów
278;46;Ładowarka szybka;Akcesoria GSM
279;46;Naprawa ekranu smartfona;Serwis i naprawa telefonów
280;46;Słuchawki przewodowe;Elektronika mobilna
281;47;Perfumy damskie;Perfumy
282;47;Podkład do twarzy;Makijaż
283;47;Krem nawilżający;Pielęgnacja skóry
284;47;Szampon regenerujący;Pielęgnacja włosów
285;47;Pędzle do makijażu;Akcesoria beauty
286;48;Odkurzacz pionowy;Odkurzacze
287;48;Robot sprzątający z mopem;Roboty sprzątające
288;48;Zestaw filtrów;Akcesoria do sprzętu
289;48;Szczotka wymienna;Akcesoria do sprzętu
290;48;Urządzenie do czyszczenia podłóg;Urządzenia domowe
291;49;Książka bestsellerowa;Książki
292;49;Gra planszowa rodzinna;Gry planszowe
293;49;Zeszyt kreatywny;Artykuły papiernicze
294;49;Figurka kolekcjonerska;Prezenty i gadżety
295;49;Czasopismo miesięczne;Czasopisma
296;50;Buty skórzane eleganckie;Obuwie męskie
297;50;Sneakersy damskie;Obuwie damskie
298;50;Buty dziecięce sportowe;Obuwie dziecięce
299;50;Sandały trekkingowe;Obuwie męskie
300;50;Buty casual skórzane;Obuwie damskie
301;61;Kurtka oversize unisex;Odzież casual
302;61;Bluza z kapturem basic;Odzież casual
303;61;T-shirt minimalistyczny;Odzież damska
304;61;Spodnie jogger;Odzież męska
305;61;Koszula casual loose fit;Odzież modowa
306;62;Rajstopy kryjące 40 DEN;Rajstopy i pończochy
307;62;Pończochy samonośne;Pończochy
308;62;Legginsy damskie classic;Odzież
309;62;Biustonosz bezszwowy;Bielizna damska
310;62;Skarpetki damskie bawełniane;Akcesoria
311;63;Zestaw długopisów kolorowych;Artykuły papiernicze
312;63;Kubek z nadrukiem;Gadżety
313;63;Ozdobna świeczka;Dekoracje
314;63;Gra biurkowa mini;Gadżety
315;63;Zestaw prezentowy DIY;Prezenty
316;64;Buty sportowe Nike Air;Obuwie sportowe
317;64;Sneakersy Adidas Originals;Obuwie sportowe
318;64;Bluza sportowa z kapturem;Odzież sportowa
319;64;Czapka z daszkiem;Akcesoria sportowe
320;64;Torba sportowa treningowa;Akcesoria sportowe
321;65;Garnitur męski slim fit;Garnitury
322;65;Marynarka wizytowa;Marynarki
323;65;Koszula męska elegancka;Koszule
324;65;Spodnie materiałowe męskie;Spodnie
325;65;Krawat jedwabny;Akcesoria modowe
326;66;Sukienka koktajlowa premium;Moda damska
327;66;Marynarka elegancka;Odzież premium
328;66;Torebka skórzana;Torebki i akcesoria
329;66;Zegarek damski klasyczny;Zegarki
330;66;Buty na obcasie;Obuwie
331;67;Jeansy skinny damskie;Jeansy i denim
332;67;T-shirt z logo Guess;Odzież damska
333;67;Koszula męska casual;Odzież męska
334;67;Pasek skórzany;Akcesoria modowe
335;67;Torebka shopper;Akcesoria modowe
336;68;Kurtka trekkingowa;Odzież outdoor
337;68;Buty górskie trekkingowe;Obuwie outdoor
338;68;Plecak turystyczny 30L;Akcesoria outdoor
339;68;Polar termiczny;Odzież outdoor
340;68;Czapka outdoorowa;Akcesoria outdoor
341;69;Jeansy straight fit;Jeansy i denim
342;69;Kurtka jeansowa damska;Odzież denimowa
343;69;Spódnica jeansowa;Moda damska
344;69;Koszula jeansowa;Odzież denimowa
345;69;Szorty jeansowe;Jeansy i denim
346;70;T-shirt basic bawełniany;Odzież damska
347;70;Bluza z nadrukiem;Odzież męska
348;70;Spodnie dziecięce;Odzież dziecięca
349;70;Biustonosz basic;Bielizna
350;70;Sneakersy casual;Obuwie
351;71;Skórzany pasek klasyczny;Paski skórzane
352;71;Portfel skórzany męski;Portfele
353;71;Torba skórzana na ramię;Torby skórzane
354;71;Etui skórzane na dokumenty;Akcesoria skórzane
355;71;Brelok skórzany;Drobne akcesoria skórzane
356;72;Kurtka damska outlet;Odzież damska
357;72;Spodnie męskie casual;Odzież męska
358;72;Sneakersy markowe;Obuwie
359;72;Torebka modowa;Akcesoria modowe
360;72;Bluza streetwear;Odzież damska
361;73;Krem do twarzy nawilżający;Kosmetyki do pielęgnacji
362;73;Perfumy damskie;Perfumy i zapachy
363;73;Tusz do rzęs;Makijaż
364;73;Żel pod prysznic;Produkty do higieny
365;73;Pędzel do makijażu;Akcesoria beauty
366;74;Komoda do salonu;Meble
367;74;Pościel bawełniana;Tekstylia domowe
368;74;Wazon dekoracyjny;Dekoracje i dodatki do domu
369;74;Zestaw talerzy ceramicznych;Naczynia i szkło
370;74;Dozownik do mydła;Akcesoria łazienkowe
371;75;Poduszka dekoracyjna;Dekoracje domowe
372;75;Zasłony do salonu;Tekstylia do domu
373;75;Zestaw naczyń kuchennych;Wyposażenie kuchni
374;75;Lampa stołowa;Oświetlenie
375;75;Ręczniki bawełniane;Akcesoria łazienkowe
376;76;T-shirt z nadrukiem;Odzież casual / streetwear
377;76;Kurtka jeansowa;Odzież męska
378;76;Sukienka casual;Odzież damska
379;76;Czapka z daszkiem;Akcesoria modowe
380;76;Bluza oversize;Odzież casual / streetwear
381;77;Paleta cieni do powiek;Kosmetyki do makijażu
382;77;Pomadka matowa;Pomadki
383;77;Lakier do paznokci;Lakiery do paznokci
384;77;Puder sypki;Pudry
385;77;Odżywka do paznokci;Produkty pielęgnacyjne
386;78;Konto osobiste;Usługi bankowe
387;78;Karta debetowa;Karty płatnicze
388;78;Kredyt gotówkowy;Kredyty i pożyczki
389;78;Aplikacja mobilna ING;Bankowość elektroniczna
390;78;Usługa przelewów online;Usługi finansowe
391;79;E-papieros starter kit;E-papierosy
392;79;Liquid owocowy 10 ml;Liquidy do e-papierosów
393;79;Podgrzewacz tytoniu;Podgrzewacze tytoniu
394;79;Saszetki nikotynowe;Saszetki nikotynowe
395;79;Etui do e-papierosa;Akcesoria vapingowe
396;80;Podgrzewacz IQOS;Iluma / podgrzewacze
397;80;Wkłady tytoniowe TEREA;Wkłady tytoniowe
398;80;Etui ochronne IQOS;Akcesoria do podgrzewaczy
399;80;Ładowarka do IQOS;Akcesoria do podgrzewaczy
400;80;Serwis urządzenia IQOS;Usługi serwisowe
401;101;Garnitur męski slim fit;Garnitury
402;101;Marynarka damska klasyczna;Marynarki
403;101;Koszula męska formalna;Koszule
404;101;Sweter wełniany unisex;Swetry
405;101;Pasek skórzany męski;Akcesoria
406;102;Jeansy damskie regular fit;Odzież damska
407;102;Jeansy męskie straight fit;Odzież męska
408;102;T-shirt z nadrukiem;Odzież damska
409;102;Kurtka jeansowa casual;Odzież męska
410;102;Sukienka damska mini;Odzież damska
411;103;Jeansy Wrangler damskie;Jeansy i odzież denimowa
412;103;Jeansy Wrangler męskie;Jeansy i odzież denimowa
413;103;Koszula jeansowa damska;Odzież damska
414;103;Kurtka denimowa męska;Odzież męska
415;103;Szorty jeansowe;Jeansy i odzież denimowa
416;104;Wiertarka elektryczna;Narzędzia
417;104;Zestaw młotków i kluczy;Narzędzia
418;104;Płyty OSB 18mm;Materiały remontowe
419;104;Lampka stołowa LED;Wyposażenie domu i ogrodu
420;104;Doniczka ceramiczna;Wyposażenie domu i ogrodu
421;105;Zestaw LEGO Star Wars;Zabawki / klocki LEGO
422;105;LEGO City Statek kosmiczny;Zabawki / klocki LEGO
423;105;LEGO Friends Domek;Zabawki / klocki LEGO
424;105;LEGO Technic Samochód;Zabawki / klocki LEGO
425;105;LEGO Classic Klocki podstawowe;Zabawki / klocki LEGO
426;106;Jeansy Levis damskie;Odzież damska
427;106;Jeansy Levis męskie;Odzież męska
428;106;T-shirt casual Levis;Odzież damska
429;106;Kurtka denim Levis;Odzież męska
430;106;Spodnie chino Levis;Odzież damska
431;107;Sukienka koktajlowa Likus;Odzież damska
432;107;Bluzka jedwabna damska;Odzież damska
433;107;Spodnie materiałowe damskie;Odzież damska
434;107;Torebka shopper premium;Akcesoria
435;107;Płaszcz damski klasyczny;Odzież damska
436;108;Pierścionek złoty z cyrkoniami;Biżuteria
437;108;Naszyjnik celebrytka;Biżuteria
438;108;Bransoletka skórzana;Biżuteria
439;108;Kolczyki srebrne;Biżuteria
440;108;Charms do bransoletki;Akcesoria
441;109;Tabliczka czekolady mlecznej;Czekolada i słodycze
442;109;Praliny luksusowe;Praliny
443;109;Zestaw czekoladowy prezentowy;Zestawy czekoladowe
444;109;Czekolada gorzka 70%;Czekolada i słodycze
445;109;Praliny w pudełku upominkowym;Zestawy czekoladowe
446;110;E-papieros starter kit;Liquidy i premixy
447;110;Liquid owocowy 10ml;Liquidy i premixy
448;110;Grzałka do e-papierosa;Akcesoria do e-papierosów
449;110;Bateria do e-papierosa;Akcesoria do e-papierosów
450;110;Pod system kompaktowy;Wkłady i bazy nikotynowe
451;91;"Laptop biurowy 15""";Komputery
452;91;Klawiatura mechaniczna;Akcesoria komputerowe
453;91;Dysk SSD 1TB;Podzespoły komputerowe
454;91;Słuchawki bezprzewodowe;RTV i elektronika użytkowa
455;91;Smart gniazdko Wi-Fi;Gadżety tech
456;92;Wymiana EUR na PLN;Wymiana walut
457;92;Wymiana USD na PLN;Wymiana walut
458;92;Skup walut obcych;Usługi kantorowe
459;92;Sprzedaż walut obcych;Usługi kantorowe
460;92;Konsultacja kursowa;Usługi kantorowe
461;93;Buty skórzane damskie;Obuwie damskie
462;93;Buty skórzane męskie;Obuwie męskie
463;93;Torebka skórzana;Torebki
464;93;Pasek skórzany;Akcesoria modowe
465;93;Portfel damski;Akcesoria modowe
466;94;Sukienka dzienna;Odzież damska
467;94;Koszula męska casual;Odzież męska
468;94;Spodnie materiałowe;Odzież męska
469;94;Bluza bawełniana;Odzież casual
470;94;Kurtka przejściowa;Odzież damska
471;95;Makaron włoski premium;Artykuły spożywcze
472;95;Sos curry indyjski;Produkty kuchni świata
473;95;Oliwa z oliwek extra virgin;Delikatesy
474;95;Przyprawy orientalne;Artykuły spożywcze
475;95;Sos sojowy japoński;Produkty kuchni świata
476;96;Ser pleśniowy francuski;Sery
477;96;Ser długo dojrzewający;Sery
478;96;Wino czerwone wytrawne;Wina
479;96;Konfitura figowa;Delikatesy
480;96;Zestaw serów prezentowy;Delikatesy
481;97;Garnitur męski klasyczny;Garnitury
482;97;Marynarka casual;Marynarki
483;97;Koszula slim fit;Koszule
484;97;Spodnie chino;Casual
485;97;Sweter wełniany;Odzież męska
486;98;Krem do rąk shea;Pielęgnacja ciała
487;98;Perfumy lawendowe;Perfumy
488;98;Balsam do ciała;Pielęgnacja ciała
489;98;Żel pod prysznic;Pielęgnacja
490;98;Zestaw kosmetyków prezentowy;Produkty beauty
491;99;Garnitur slim fit;Garnitury
492;99;Marynarka wełniana;Marynarki
493;99;Koszula wizytowa;Koszule
494;99;Spodnie materiałowe;Spodnie
495;99;Sweter klasyczny;Swetry
496;100;Polówka klasyczna;Odzież męska
497;100;Sukienka sportowa;Odzież damska
498;100;Sneakersy skórzane;Obuwie
499;100;Czapka z logo;Akcesoria
500;100;Pasek parciany;Akcesoria
501;111;Manicure hybrydowy klasyczny;Manicure
502;111;Przedłużanie paznokci żelowych;Stylizacja paznokci
503;111;Stylizacja brwi i rzęs;Stylizacja brwi i rzęs
504;111;Pakiet manicure + pedicure;Usługi kosmetyczne
505;111;Zdjęcie hybrydy + pielęgnacja;Usługi kosmetyczne
506;112;Kupon Lotto tygodniowy;Zakłady liczbowe
507;112;Lotto Ekstra Pensja;Usługi gier liczbowych
508;112;Kumulacja Super Szansa;Zakłady liczbowe
509;112;Kupon Mini Lotto;Usługi gier liczbowych
510;112;Lotto Online mobilnie;Usługi gier liczbowych
511;113;Kolczyki modowe złote;Biżuteria modowa
512;113;Naszyjnik celebrytka;Biżuteria modowa
513;113;Bransoletka charms;Biżuteria modowa
514;113;Pierścionek regulowany;Biżuteria modowa
515;113;Kolczyki wiszące srebrne;Biżuteria modowa
516;114;Sukienka letnia damska;Odzież damska
517;114;Bluzka z krótkim rękawem;Odzież damska
518;114;Spódnica midi plisowana;Odzież damska
519;114;Koszula casual damska;Odzież damska
520;114;Żakiet damski elegancki;Odzież damska
521;115;Biustonosz koronkowy;Bielizna damska
522;115;Majtki klasyczne;Bielizna damska
523;115;Kostium kąpielowy jednoczęściowy;Kostiumy kąpielowe
524;115;Piżama bawełniana damska;Piżamy / odzież nocna
525;115;Skarpetki damskie kolorowe;Skarpetki
526;116;Manicure hybrydowy;Usługi manicure
527;116;Manicure żelowy;Usługi manicure
528;116;Usunięcie stylizacji paznokci;Usunięcie stylizacji
529;116;Naprawa paznokci;Usługi kosmetyczne
530;116;Stylizacja paznokci artystyczna;Stylizacja paznokci
531;117;Skarpety kolorowe unikalne;Skarpety
532;117;Skarpety z motywem zwierząt;Skarpety
533;117;Skarpety w paski;Skarpety
534;117;Skarpety z napisem kreatywnym;Skarpety
535;117;Skarpety wełniane ręcznie robione;Skarpety
536;118;Jabłka świeże;owoce
537;118;Marchew bio;Warzywa
538;118;Banany dojrzałe;owoce
539;118;Papryka czerwona;Warzywa
540;118;Pomarańcze słodkie;owoce
541;119;T-shirt casual damski;Odzież damska
542;119;Bluzka damska klasyczna;Odzież damska
543;119;Koszula męska casual;Odzież męska
544;119;Spodnie męskie chinos;Odzież męska
545;119;Kurtka unisex casual;Odzież damska i męska
546;120;Konto osobiste standard;mBank
547;120;Kredyt gotówkowy online;mBank
548;120;Karta kredytowa mBank;mBank
549;120;Aplikacja mobilna mBank;Bankowość elektroniczna i mobilna
550;120;Konto firmowe Premium;mBank
551;121;Koszula lniana męska;Odzież męska
552;121;Sukienka midi;Odzież damska
553;121;Sweter dziecięcy;Odzież dziecięca
554;121;Torebka skórzana;Akcesoria modowe
555;121;Pasek klasyczny;Akcesoria modowe
556;122;Kurtka dziecięca przejściowa;Odzież dziecięca
