ID;NAME;CATEGORIES
13;Bank Ing;Konta osobiste, Konta oszczędnościowe (w tym walutowe), Konta firmowe, Bankowość elektroniczna i mobilna, Karty płatnicze, Kredyty i pożyczki, Bankomat i wpłatomat, Przelewy i zarządzanie finansami, Usługi dla klientów indywidualnych i biznesowych
14;Bea Beleza;Profesjonalne kosmetyki do włosów, Pielęgnacja włosów (szampony, odżywki, maski, olejki), Produkty do stylizacji włosów, Sprzęt fryzjerski i akcesoria fryzjerskie, Uroda i pielęgnacja skóry głowy (profesjonalna)
15;Bershka;Moda damska, Moda męska, Moda młodzieżowa (BSK), Odzież codzienna, Odzież streetwear, Buty / obuwie, Akcesoria modowe (np. torebki, paski, biżuteria), Ubrania sportowe i casual (trendy fashion)
16;Bloch Optyk;Okulary korekcyjne, Okulary przeciwsłoneczne, Soczewki okularowe, Oprawki okularowe, Badanie wzroku i dobór szkieł (usługi optyczne)
17;Big Star;Jeansy, Odzież damska, Odzież męska, Koszulki, Kurtki, Spodnie (moda casual)
18;Bijou Brigitte;Biżuteria (kolczyki, naszyjniki, bransoletki, pierścionki), Akcesoria modowe (torebki, opaski, apaszki itp.)
19;Boardriders;Odzież (casual, skate/surf style), Obuwie sportowe i casual, Akcesoria (plecaki, czapki itp.), oferta marek surf/skate takich jak Quiksilver, Roxy, DC, Billabong
20;BOSS;Moda męska, Garnitury, Marynarki, Spodnie, Koszule, Bluzy, Koszulki, Swetry, Kurtki, Płaszcze, Obuwie, Akcesoria modowe (np. paski, torby)
21;By Dziubeka;Biżuteria damska i męska (bransoletki, naszyjniki, kolczyki, pierścionki, broszki)
22;BORGIO;Moda męska, Garnitury, Marynarki, Koszule, Spodnie, Kurtki, Płaszcze, Polo, T‑shirty, Obuwie, Akcesoria (np. paski)
23;Bytom;Moda męska, Garnitury, Marynarki, Koszule, Spodnie, Bluzy, Polo, T‑shirty, Paski, Krawaty, Muchy, Szale, Rękawiczki, Czapki, Bielizna, Akcesoria modowe
24;C&A;Odzież damska, Odzież męska, Odzież dziecięca, Moda młodzieżowa, Akcesoria odzieżowe
25;Calliope;Odzież damska, Odzież męska, Odzież casual/modowa, Akcesoria (np. paski, torebki)
26;Calzediona;Bielizna damska, Bielizna męska, Pończochy, Rajstopy, Skarpety, Kostiumy kąpielowe
27;Carrefour;Artykuły spożywcze, Nabiał i pieczywo, Mięso i wędliny, Warzywa i owoce, Produkty domowe i chemia, AGD i RTV (sprzęt), Artykuły przemysłowe, Odzież i obuwie, Akcesoria, Chemia gospodarcza
28;CANAL+;Telewizja płatna / subskrypcje TV, Internet domowy, Telefonia komórkowa, Usługi instalacji i montażu sprzętu TV/SAT
29;Candy POP;Słodycze i cukierki, Przekąski, Napoje / słodkie napoje
30;Carry;Odzież damska, Odzież męska, Odzież casual / codzienna
31;Centrum Wina;Wina (różne gatunki) i alkohole, Produkty związane z winem
32;CCC;Obuwie damskie, Obuwie męskie, Obuwie dziecięce, Akcesoria do obuwia (np. paski, torebki)
33;CEWE FOTOJOKER;Odbitki zdjęć i wydruki zdjęciowe, Zdjęcia do dokumentów, Fotoprodukty personalizowane (fotoksiążki, fotokalendarze, fotoobrazy, kubki itd.), Sprzęt fotograficzny (aparaty cyfrowe, obiektywy), Akcesoria fotograficzne (statywy, torby, folie, ramki)
34;Converse;Obuwie (sneakersy, trampki, buty casual), Odzież sportowa/casual, Akcesoria modowe (np. czapki, plecaki)
35;Cloud Shop;Artykuły szkolne i papiernicze, Akcesoria biurowe, Gadżety / drobne prezenty
36;Change Lingerie;Bielizna damska (biustonosze, majtki, rajstopy), Akcesoria bieliźniane
37;Crocs;Obuwie (klapki, chodaki, sandały, buty casual)
38;Cropp;Odzież damska, Odzież męska, Obuwie, Akcesoria modowe (styl miejski/casual)
39;Credit Agricole;Usługi bankowe, Konta osobiste, Lokaty, Kredyty, Inwestycje, Ubezpieczenia
40;Coral Travel;Usługi biura podróży, Wyjazdy wakacyjne / wczasy, Rezerwacje urlopów i biletów
41;Diesel;Odzież damska, Odzież męska, Jeansy, Kurtki, Swetry, Koszulki, Spodnie, Obuwie, Akcesoria modowe (torby, paski, czapki)
42;Diverse;Obuwie (buty damskie i męskie)
43;Deichmann;Obuwie damskie, Obuwie męskie, Obuwie dziecięce, Buty sportowe (różne style)
44;Czas na Herbatę;Herbata i napoje, Akcesoria do herbaty, Zestawy prezentowe z herbatą
45;Dyson;Odkurzacze i roboty sprzątające, Suszarki do włosów i urządzenia do pielęgnacji, Oczyszczacze powietrza, Wentylatory i sprzęt domowy
46;Dream Mobile;Akcesoria do telefonów komórkowych (etui, szkła), Serwis i naprawa telefonów, Akcesoria GSM i elektronika mobilna
47;Douglas;Perfumy, Kosmetyki do makijażu, Pielęgnacja skóry i włosów, Akcesoria beauty
48;Dreame;Odkurzacze (pionowe/roboty), Urządzenia sprzątające i domowe, Akcesoria do sprzętu domowego
49;Empik;Książki, Multimedia (muzyka, filmy, gry), Artykuły papiernicze i kreatywne, Zabawki i gry planszowe, Prezenty i gadżety, Czasopisma
50;Ecco;Obuwie damskie, Obuwie męskie, Obuwie dziecięce (buty eleganckie, casual i sportowe)
51;Ella Boutique;Odzież damska (sukienki, elegancka moda kobieca)
52;E-LiQ VapeShop;E‑papieryosy i akcesoria do wapowania, Liquidy i wkłady, Pody i urządzenia vapingowe
53;Exclusive Dental Studio;Usługi stomatologiczne i dentystyczne (implanty, protetyka, ortodoncja, higiena jamy ustnej)
54;Eobuwie.pl;Obuwie damskie, Obuwie męskie, Obuwie dziecięce, Akcesoria (torebki, plecaki)
55;Etam;Bielizna damska, Kostiumy kąpielowe, Odzież plażowa, Rajstopy i legginsy
56;Fale Loki Koki;Profesjonalne kosmetyki fryzjerskie, Narzędzia fryzjerskie, Akcesoria fryzjerskie, Sprzęt elektryczny do stylizacji włosów
57;Fielmann;Okulary korekcyjne, Okulary przeciwsłoneczne, Soczewki kontaktowe, Usługi badania wzroku i dobór szkieł
58;Family Optic;Okulary korekcyjne, Okulary przeciwsłoneczne, Soczewki kontaktowe, Usługi optyczne i badanie wzroku
59;Fame Barber;Strzyżenie i stylizacja włosów, Usługi barberingu / fryzjerskie
60;Five o'clock;Herbata, Kawa, Akcesoria do napojów (np. porcelana, zaparzacze), Ciastka i dodatki do herbaty/kawy
61;FOG;Odzież damska, Odzież męska, Odzież casual / modowa
62;Gatta;Rajstopy i pończochy, Bielizna damska, Odzież (np. legginsy), Akcesoria (skarpetki)
63;Flying Tiger Copenhagen;Akcesoria domowe, Gadżety, Artykuły papiernicze, Prezenty / drobiazgi, Dekoracje
64;Foot Locker;Obuwie sportowe, Odzież sportowa/casual, Akcesoria sportowe (czapki, torby)
65;Giacomo Conti;Odzież męska, Garnitury, Marynarki, Koszule, Spodnie, Akcesoria modowe (paski, krawaty)
66;Guess by Marciano;Moda damska i męska, Odzież premium/casual, Obuwie, Torebki i akcesoria, Zegarki i biżuteria
67;Guess;Odzież damska, Odzież męska, Jeansy i denim, Akcesoria odzieżowe/modowe (torebki, paski, itp.)
68;Górskie Resorty;Odzież i akcesoria outdoor / turystyczne (odzież, obuwie do górskich aktywności)
69;Guess Jeans;Jeansy i odzież denimowa, Moda damska
70;H&M;Odzież damska, Odzież męska, Odzież dziecięca, Bielizna, Akcesoria modowe, Obuwie
71;Gusti Leder;Wyroby ze skóry – paski, portfele, torby i drobne akcesoria skórzane
72;Half Price;Odzież damska, Odzież męska, Obuwie, Akcesoria modowe (pozostałości z poprzednich marek – różnorodna oferta fashion)
73;Hebe;Kosmetyki do pielęgnacji, Perfumy i zapachy, Makijaż, Produkty do higieny, Akcesoria beauty
74;Homla;Meble, Tekstylia domowe (pościel, ręczniki), Dekoracje i dodatki do domu, Naczynia i szkło, Akcesoria kuchenne, Akcesoria łazienkowe
75;Home&You;Dekoracje domowe, Tekstylia do domu, Wyposażenie kuchni, Akcesoria łazienkowe, Naczynia i szkło, Oświetlenie, Dodatki do salonu i sypialni
76;House;Odzież damska, Odzież męska, Odzież casual / streetwear, Akcesoria modowe
77;Inglot;Kosmetyki do makijażu (cienie, pomadki, pudry), Lakier do paznokci i produkty do stylizacji paznokci, Produkty pielęgnacyjne i kosmetyki kolorowe
78;Ing;Konta bankowe, Kredyty i pożyczki, Karty płatnicze, Bankowość elektroniczna i mobilna, Usługi finansowe (przelewy, inwestycje)
79;Inspiration Store;E‑papierosy i akcesoria vapingowe, Liquidy do e‑papierosów, Podgrzewacze tytoniu, Saszetki nikotynowe / alternatywy tytoniowe
80;IQOS;Podgrzewacze tytoniu IQOS, Wkłady tytoniowe (TEREA, LEVIA, DELIA, FIIT), Akcesoria do podgrzewaczy (etui, ładowarki, nasadki), Usługi serwisowe i personalizacji urządzeń
81;Intimissimi;Bielizna damska, Body, Biustonosze, Majtki, Piżamy / odzież nocna, Rajstopy, Skarpetki
82;Intersport;Odzież sportowa, Obuwie sportowe, Sprzęt sportowy (np. piłki, hantle), Akcesoria sportowe (plecaki, bidony), Suplementy i odżywki
83;iSpot;Urządzenia Apple (iPhone, iPad, Mac), Akcesoria do Apple (etui, ładowarki, kable), Usługi serwisowe Apple
84;JD Sports;Obuwie sportowe, Odzież sportowa i streetwear, Akcesoria sportowe
85;Itaka;Usługi turystyczne / wycieczki zagraniczne i krajowe, Rezerwacje wakacji i pobytów
86;Jean Louis David salon fryzjerski;Usługi fryzjerskie (strzyżenie, koloryzacja, stylizacja włosów, zabiegi pielęgnacyjne)
87;Kamalion;Akcesoria do telefonów komórkowych (etui, szkła, uchwyty i inne akcesoria)
88;Jubitom;Biżuteria, Zegarki, Akcesoria jubilerskie
89;Jubiler Schubert;Biżuteria złota i srebrna, Zegarki, Kamienie szlachetne i bursztyny
90;Kolporter;Prasa i czasopisma, Bilety komunikacyjne i losy loteryjne, Artykuły drobne (sklep kiosk)
91;Komputronik;Komputery, Podzespoły i akcesoria komputerowe, RTV/AGD i elektronika użytkowa, Gadżety tech i sprzęt domowy
92;Kantor;Wymiana walut / usługi kantorowe (skup i sprzedaż walut)
93;Kazar;Obuwie damskie i męskie, Torebki i akcesoria modowe
94;Kossie;Odzież / moda (odzież damska/męska – sklep odzieżowy)
95;Kuchnie Świata;Artykuły spożywcze / delikatesy (produkty kuchni świata)
96;Kraina Serów;Sery i delikatesy (sery, wina, konfitury)
97;Kubenz;Moda męska (odzież, garnitury, casual)
98;L'Occitane;Kosmetyki / pielęgnacja (perfumy, produkty beauty)
99;Lavard;Moda męska (garnitury, marynarki, koszule, spodnie, swetry)
100;Lacoste;Odzież męska i damska, Obuwie, Akcesoria (paski, czapki itp.)
101;Lancerto;Moda męska i damska (garnitury, marynarki, koszule, spodnie, swetry, akcesoria)
102;Lee Cooper;Moda damska i męska (głównie odzież – jeansy, koszulki, kurtki)
103;Lee Wrangler;Moda damska i męska (jeansy i odzież denimowa)
104;Leroy Merlin;Artykuły budowlane, Narzędzia, Materiały remontowe, Wyposażenie domu i ogrodu (market budowlany)
105;Lego;Zabawki / klocki LEGO (zestawy konstrukcyjne)
106;Levis;Odzież damska, Odzież męska (jeansy i casual)
107;Likus Concept Store;Concept Store: Moda damska / odzież i akcesoria fashion
108;Lilou;Biżuteria i akcesoria (pierścionki, naszyjniki, bransoletki itp.)
109;LINDT;Czekolada i słodycze, Praliny, Tabliczki czekolady, Zestawy czekoladowe / upominki (artykuły spożywcze)
110;Liquider Store;E‑papierosy, Liquidy i premixy, Akcesoria do e‑papierosów (np. baterie, ustniki, grzałki), Wkłady i bazy nikotynowe
111;Magic Touch;Manicure (hybrydowy, klasyczny), Stylizacja paznokci, Przedłużanie paznokci, Stylizacja brwi i rzęs (usługi kosmetyczne)
112;Lotto;Zakłady liczbowe i gry losowe (LOTTO, Kupony), Usługi gier liczbowych i loterii
113;Lovisa;Biżuteria modowa (kolczyki, naszyjniki, bransoletki, pierścionki)
114;Mango;Odzież damska
115;Marilyn;Bielizna damska, Rajstopy i pończochy, Kostiumy kąpielowe, Piżamy/odzież nocna, Skarpetki
116;Manicure Plus;Usługi manicure (manicure hybrydowy, żelowy, klasyczny), Stylizacja paznokci, Usunięcie stylizacji, Naprawa paznokci (usługi kosmetyczne)
117;Many mornings;Skarpety (kolorowe, kreatywne i unikalne)
118;MarkEwka;owoce, Warzywa
119;Medicine;Odzież damska i męska (casual / modowa)
120;mBank;Usługi bankowe, Konta osobiste, Kredyty i pożyczki, Karty płatnicze, Bankowość elektroniczna i mobilna, Obsługa finansów
121;Massimo Dutti;Odzież damska, Odzież męska, Odzież dziecięca, Akcesoria modowe
122;Mayoral;Odzież dziecięca, Odzież niemowlęca, Akcesoria dla dzieci
123;Miramira;biżuteria, kolczyki, łańcuszki, naszyjniki, pierścionki, branzoletki
124;Militaria.pl;Odzież, obuwie taktyczne, Sprzęt outdoor, Akcesoria militarne, survival, Broń rekreacyjna, akcesoria
125;Midi Zoo;Karmy dla zwierząt, Akcesoria i wyposażenie dla zwierząt domowych, Zabawy i przysmaki dla pupili
126;Mister Minit;Naprawa obuwia, Dorabianie kluczy, Wymiana baterii w zegarkach, Grawerowanie, Akcesoria do obuwia i kluczy
127;Muscat;Okulary korekcyjne, Okulary przeciwsłoneczne, Soczewki, Badanie wzroku/usługi optyczne
128;Molton;Odzież damska
129;Mohito;Odzież damska
130;Myjnia Posnania;Mycie zewnętrzne auta, Sprzątanie wnętrza, Pranie tapicerki, Czyszczenie szyb, Odkurzanie, Odświeżanie skórzanej tapicerki
131;Naoko;Odzież damska (modowa i casual)
132;Neonail;Lakiery hybrydowe, Akcesoria do manicure i pedicure, Lampy UV/LED, Zestawy do stylizacji paznokci
133;New Balance;Obuwie sportowe, Odzież sportowa/casual, Akcesoria sportowe
134;New Yorker;Odzież damska, Odzież męska, Odzież młodzieżowa, Bielizna, Akcesoria modowe
135;Nike;Obuwie sportowe, Odzież sportowa, Akcesoria sportowe (czapki, torby, skarpety)
136;Nicopoder;Elektroniczne papierosy jednorazowe, Woreczki nikotynowe i energetyczne (artykuły nikotynowe)
137;Newbie;Odzież dziecięca i niemowlęca (ubrania dla najmłodszych)
138;Ochnik;Odzież damska i męska (skórzana i tekstylna), Galanteria skórzana (torebki, portfele, paski), Akcesoria podróżne
139;Odlotowe Krawcowe;Usługi krawieckie / przeróbki, Pasmanteria
140;Notino;Perfumy, Kosmetyki do pielęgnacji skóry i włosów, Produkty beauty i makijaż
141;Okko;Okulary korekcyjne, Okulary przeciwsłoneczne, Badanie wzroku i dobór oprawek
142;Office Shoes;Obuwie damskie, Obuwie męskie, Obuwie dziecięce, Akcesoria do butów
143;Okaidi;Odzież dziecięca
144;Olavoga;Odzież damska, Moda casual / modowa
145;Old Havana;Odzież i akcesoria (moda codzienna/streetwear)
146;One by one;Odzież damska (moda casual)
147;Olimp store;Odzież męska (koszule, T‑shirty, swetry, spodnie), Akcesoria modowe
148;Orange;Usługi telekomunikacyjne (telefony i abonamenty), Smartfony i akcesoria GSM
149;Optyk Studio 1242;Okulary korekcyjne, Okulary przeciwsłoneczne, Soczewki kontaktowe, Badanie wzroku / usługi optyczne
150;Organic Farma Zdrowia;Ekologiczne produkty spożywcze, Zdrowa żywność, Kosmetyki naturalne i ekologiczne, Środki czystości organiczne
151;Organique;Naturalne kosmetyki do pielęgnacji twarzy, ciała i włosów, Produkty spa i wellness, Akcesoria do pielęgnacji
152;Oysho;Odzież damska sportowa i casual, Bielizna sportowa, Akcesoria sportowe (np. torebki, torby), Obuwie, Stroje kąpielowe
153;Parfois;Biżuteria, Torebki i portfele, Akcesoria modowe (szaliki, paski, czapki, itp.)
154;Pako lorente;Odzież męska (garnitury, koszule, spodnie, marynarki), Akcesoria modowe
155;Paris Optique;Okulary korekcyjne, Okulary przeciwsłoneczne, Soczewki kontaktowe, Usługi optyczne (badanie wzroku i dobór oprawek)
156;Piekarnia Grochola Prawdziwy Chleb;Chleb i pieczywo rzemieślnicze, Wypieki piekarnicze
157;PAULOADRIANI;Odzież damska, Odzież męska, Garnitury, Marynarki, Koszule, Spodnie, Swetry, Akcesoria modowe (buty, paski)
158;Pinko;Biżuteria, Torebki i portfele, Obuwie, Odzież damska, Akcesoria modowe
159;Perfect Eye Optic Familly Vision;Okulary korekcyjne, Okulary przeciwsłoneczne, Soczewki kontaktowe, Badanie wzroku i usługi optyczne
160;Pitbull;Okulary przeciwsłoneczne / okulary sportowe i akcesoria (sport/lifestyle)
161;Play;Usługi telekomunikacyjne (abonament, karty SIM), Telefonia komórkowa, Smartfony i akcesoria GSM (usługi i produkty)
162;Plus;Usługi telekomunikacyjne, Telefonia komórkowa, Abonamenty i karty SIM, Smartfony i akcesoria GSM
163;PLOOM;Urządzenia podgrzewania tytoniu, Wkłady tytoniowe, Akcesoria do urządzeń (dla dorosłych)
164;Poczta Polska;Usługi pocztowe i kurierskie (listy, paczki, odbiór/przesyłki)
165;Pop Factory;Biżuteria stalowa, modne akcesoria biżuteryjne
166;Pomarańczarnia;Wymiana walut, usługi kantoru
167;Pralnia EBS;Usługi pralnicze, czyszczenie odzieży / tekstyliów
168;Prezentowo;Prezenty, Karty okolicznościowe, Papier do pakowania prezentów, Dodatki upominkowe
169;Primark;Odzież damska, Odzież męska, Odzież dziecięca, Obuwie, Akcesoria
170;Puccini;Galanteria skórzana (torebki, torby), Portfele, Walizki i akcesoria podróżne
171;Pull & Bear;Odzież damska, Odzież męska, Moda casual / streetwear
172;Punkt obsługi kierowców bolt;Usługi kurierskie/obsługa kierowców
173;Rainbow Tours;Usługi turystyczne / biuro podróży, Wycieczki i wczasy zagraniczne
174;Puma;Obuwie sportowe, Odzież sportowa, Akcesoria sportowe
175;Recman;Moda męska (odzież garniturowa i casual)
176;Reserved;Odzież damska, Odzież męska, Odzież dziecięca, Akcesoria modowe
177;Rituals;Kosmetyki do ciała i domu, Świece i zapachy, Produkty wellness
178;Rosenthal;Naczynia porcelanowe i zastawa stołowa, Dekoracje domowe, Akcesoria kuchenne i dekoracyjne
179;Rossman;Kosmetyki do pielęgnacji, Perfumy, Makijaż, Artykuły higieniczne i zdrowotne
180;Rykło;Obuwie damskie i męskie, Galanteria skórzana (torebki, portfele, paski), Akcesoria obuwnicze
181;RTV EURO AGD;Elektronika użytkowa, RTV i AGD, Komputery, Telewizory, Sprzęt kuchenny i akcesoria
182;Samsonite;Walizki, Torby podróżne, Plecaki, Akcesoria podróżne
183;Samsung;Telefony i smartfony, Telewizory, Tablety, Smartwatche, Akcesoria elektroniczne
184;Savicki;Biżuteria luksusowa, Pierścionki zaręczynowe, Obrączki ślubne, Naszyjniki, Bransoletki, Kolczyk
185;Sephora;Perfumy, Kosmetyki do makijażu, Pielęgnacja twarzy, Pielęgnacja ciała, Pielęgnacja włosów, Zapachy (perfumy)
186;Semilac;Lakiery hybrydowe i lakiery do paznokci, Produkty do stylizacji paznokci, Akcesoria do manicure
187;SFD;Suplementy diety, Odżywki sportowe, Żywność dietetyczna, Produkty prozdrowotne
188;Silcare;Lakiery hybrydowe i żele UV, Produkty do pielęgnacji ciała i dłoni, Produkty do depilacji, Akcesoria kosmetyczne
189;Shishka 79;Artykuły tytoniowe, Yerba mate, Fajki i fajki wodne, Akcesoria dla palaczy
190;Sinsay;Odzież damska, Odzież męska, Odzież dziecięca, Akcesoria modowe, Obuwie
191;Sizzer;Używane smartfony, Akcesoria do telefonów i tabletów, Usługi zabezpieczenia urządzeń
192;smartSPOT;Obuwie sportowe i sneakersy, Odzież streetwear / casual, Akcesoria modowe
193;Słomiński;Wędliny i mięso, Garmażerka i produkty mięsne, Artykuły spożywcze lokalne
194;Skechers;Obuwie damskie, Obuwie męskie, Obuwie dziecięce, Obuwie sportowe i lifestyle, Akcesoria obuwnicze,
195;Smyk;Odzież dziecięca i niemowlęca, Obuwie dziecięce, Zabawki, Gry i puzzle, Artykuły szkolne i akcesoria dziecięce, Wyposażenie dla niemowląt,
196;Snipes;Odzież uliczna / streetwear, Obuwie sportowe i lifestyle, Akcesoria (czapki, plecaki, skarpetki), Gadżety,
197;SMOKE;E‑papierosy i akcesoria, Liquidy, Akcesoria do palenia,
198;Stacja Kolejorz Lech Poznań;Odzież kibicowska i sportowa, Szaliki i czapki kibica, Gadżety klubowe i pamiątki,
199;Solar;Moda damska, Odzież wizytowa i casual, Sukienki i garnitury damskie, Akcesoria i dodatki.
200;Stradivarius;Odzież i moda damska (trendy ubrania, dodatki, akcesoria)
201;Sorvella Perfume;"Perfumy damskie, męskie i unisex; zapachy domowe, dyfuzory, mgiełki do ciała i prezentowe zestawy zapachowe"
202;Sunset Suits;Garnitury, marynarki, elegancka odzież męska (garnitur na miarę / formalne stylizacje) (typowo z nazwy)
203;Świat GSM;akcesoria i części do telefonów, elektronika mobilna, etui, ładowarki, słuchawki
204;SunewMed+;kosmetyki, produkty dla kobiet, branża beuty
205;Swarovski;biżuteria, kryształy, zegarki, dodatki prezentowe
206;Świat pierogów;pierogi i lokale z kuchnią polską/tradycyjną
207;Swiss;zegarki, biżuteria, usługi jubilerskie (serwis zegarków)
208;Terranova;moda damska i męska, casualowe ubrania
209;Tatuum;odzież damska i męska w stylu casual i biznes casual
210;T-Mobile;usługi telekomunikacyjne, abonament, smartfony i akcesoria
211;Time Trend;zegarki i biżuteria, akcesoria modowe
212;Tezenis;bielizna, piżamy, odzież domowa, akcesoria dla kobiet i mężczyzn (typowa oferta marki)
213;TK MAXX;"ubrania i dodatki dla kobiet, mężczyzn i dzieci; dom i lifestyle; marki premium w obniżonych cenach"
214;The North Face;odzież outdoorowa, obuwie i sprzęt turystyczny (typowa oferta)
215;Top Hi-Fi & Video Design;sprzęt audio-video premium, systemy kina domowego
216;Tui;biuro podróży, wycieczki, wakacje, bilety lotnicze, pakiety turystyczne
217;Triumph;bielizna damska, komplety, body i piżamy
218;Tous;biżuteria, zegarki, akcesoria, torebki, perfumy
219;Twinkle;świece sojowe
220;Under Armour;odzież sportowa, obuwie, akcesoria fitness
221;Ulla Popken;moda damska plus size, odzież codzienna i elegancka
222;United Colors Of Benetton;kolorowa moda damska, męska i dziecięca
223;Vans;obuwie i odzież streetwear, sneakersy, akcesoria
224;Van Graaf;moda premium i luksusowa odzież marek designerskich
225;Venezia;obuwie i galanteria skórzana
226;Vezzi;biżuteria
227;Virgin Mobile;usługi telekomunikacyjne typu MVNO (karty SIM, abonament)
228;Vision Express;okulary korekcyjne i przeciwsłoneczne, badanie wzroku optyków
229;Victoria's Secret;bielizna, odzież nocna, perfumy i kosmetyki
230;W.KRUK ROLEX BOUTIQUE;luksusowe zegarki, biżuteria premium
231;Vistula;elegancka moda męska i damska, garnitury, koszule, dodatki
232;W.KRUK;biżuteria, pierścionki, łańcuszki, zegarki, akcesoria
233;Wittchen;galanteria skórzana: torebki, portfele, paski, walizki
234;Wojas;obuwie i galanteria skórzana dla kobiet i mężczyzn
235;Wyjątkowy prezent;prezenty, upominki i gadżety
236;Wyspa smaków;produkty spożywcze, regionalne smaki, food spot/restauracja
237;Wólczanka;koszule i odzież męska klasy premium
238;Yankee Candle;świeczki zapachowe, aromaty do domu, akcesoria zapachowe
239;Yes;biżuteria (złoto, srebro, diamenty), pierścionki, bransoletki
240;Yatta.pl;sklep internetowy z modą i dodatkami
241;Xiaomi Store;smartfony, smart urządzenia, elektronika konsumencka
242;Yves Rocher;kosmetyki do pielęgnacji skóry, perfumy, makijaż
243;Zara;moda damska, męska i dziecięca, dodatki trendowe
244;Żabka;convenience sklep spożywczy: produkty codzienne, przekąski, napoje
245;Ziaja;kosmetyki do pielęgnacji ciała i twarzy, dermokosmetyki, produkty naturalne
246;Zegarki.pl;zegarki różnego typu, akcesoria do zegarków
